identifier;title;author;source_date;publication_date;source;type
2019_Zagajewski-Adam_Wstep;Wstęp;Adam Zagajewski;2019;2019;Substancja nieuporządkowana https://polona.pl/item/substancja-nieuporzadkowana,MTMwNDgwNDMz/0/#info:metadata;literary
2019_Zagajewski-Adam_O-zyciu-w-wolnosci;O życiu w wolności;Adam Zagajewski;2019;2019;Substancja nieuporządkowana https://polona.pl/item/substancja-nieuporzadkowana,MTMwNDgwNDMz/0/#info:metadata;literary
2019_Zagajewski-Adam_Pochwala-prawa;Pochwała prawa;Adam Zagajewski;2019;2019;Substancja nieuporządkowana https://polona.pl/item/substancja-nieuporzadkowana,MTMwNDgwNDMz/0/#info:metadata;literary
2019_Zagajewski-Adam_O-pewnej-niezwyklej;O pewnej niezwykłej korespondencji ;Adam Zagajewski;2019;2019;Substancja nieuporządkowana https://polona.pl/item/substancja-nieuporzadkowana,MTMwNDgwNDMz/0/#info:metadata;literary
2019_Zagajewski-Adam_Teatr-cieni;Teatr cieni;Adam Zagajewski;2019;2019;Substancja nieuporządkowana https://polona.pl/item/substancja-nieuporzadkowana,MTMwNDgwNDMz/0/#info:metadata;literary
2019_Zagajewski-Adam_O-zdziwieniu;O zdziwieniu;Adam Zagajewski;2019;2019;Substancja nieuporządkowana https://polona.pl/item/substancja-nieuporzadkowana,MTMwNDgwNDMz/0/#info:metadata;literary
2019_Zagajewski-Adam_W-strone-Drohobycza;W stronę Drohobycza ;Adam Zagajewski;2019;2019;Substancja nieuporządkowana https://polona.pl/item/substancja-nieuporzadkowana,MTMwNDgwNDMz/0/#info:metadata;literary
2019_Zagajewski-Adam_Odeszli-wielcy-poeci;Odeszli wielcy poeci;Adam Zagajewski;2019;2019;Substancja nieuporządkowana https://polona.pl/item/substancja-nieuporzadkowana,MTMwNDgwNDMz/0/#info:metadata;literary
2019_Zagajewski-Adam_Tajemnicze-muzeum;Tajemnicze muzeum w Dahlem ;Adam Zagajewski;2019;2019;Substancja nieuporządkowana https://polona.pl/item/substancja-nieuporzadkowana,MTMwNDgwNDMz/0/#info:metadata;literary
2019_Zagajewski-Adam_O-kilku-artystach;O kilku artystach (alfabetycznie) ;Adam Zagajewski;2019;2019;Substancja nieuporządkowana https://polona.pl/item/substancja-nieuporzadkowana,MTMwNDgwNDMz/0/#info:metadata;literary
2019_Zagajewski-Adam_Gustaw-Mahler;Gustaw Mahler, uwagi dyletanta;Adam Zagajewski;2019;2019;Substancja nieuporządkowana https://polona.pl/item/substancja-nieuporzadkowana,MTMwNDgwNDMz/0/#info:metadata;literary
2019_Zagajewski-Adam_Muzyka-na-wygnaniu;Muzyka na wygnaniu;Adam Zagajewski;2019;2019;Substancja nieuporządkowana https://polona.pl/item/substancja-nieuporzadkowana,MTMwNDgwNDMz/0/#info:metadata;literary
2019_Zagajewski-Adam_Podziekowanie;Podziękowanie za Nagrodę Księżniczki Asturii;Adam Zagajewski;2019;2019;Substancja nieuporządkowana https://polona.pl/item/substancja-nieuporzadkowana,MTMwNDgwNDMz/0/#info:metadata;literary
